timestamp,price
2024-01-01 00:00,4.5
2024-01-01 01:00,4.6
2024-01-01 02:00,4.4
2024-01-01 03:00,4.8
2024-01-01 04:00,5.0
2024-01-01 05:00,5.2
2024-01-01 06:00,5.4
2024-01-01 07:00,5.6
2024-01-01 08:00,5.8
2024-01-01 09:00,6.0
2024-01-01 10:00,6.2
2024-01-01 11:00,6.3
2024-01-01 12:00,6.5
2024-01-01 13:00,6.6
2024-01-01 14:00,6.8
2024-01-01 15:00,7.0
2024-01-01 16:00,7.2
2024-01-01 17:00,7.5
2024-01-01 18:00,8.0
2024-01-01 19:00,8.3
2024-01-01 20:00,8.5
2024-01-01 21:00,8.2
2024-01-01 22:00,7.8
2024-01-01 23:00,7.0
