timestamp,demand
2024-01-01 00:00,110
2024-01-01 01:00,120
2024-01-01 02:00,115
2024-01-01 03:00,130
2024-01-01 04:00,145
2024-01-01 05:00,160
2024-01-01 06:00,175
2024-01-01 07:00,190
2024-01-01 08:00,200
2024-01-01 09:00,220
2024-01-01 10:00,250
2024-01-01 11:00,260
2024-01-01 12:00,275
2024-01-01 13:00,290
2024-01-01 14:00,300
2024-01-01 15:00,310
2024-01-01 16:00,320
2024-01-01 17:00,330
2024-01-01 18:00,350
2024-01-01 19:00,380
2024-01-01 20:00,390
2024-01-01 21:00,370
2024-01-01 22:00,340
2024-01-01 23:00,300
