timestamp,demand,hour,day,month,weekday,lag_1,temperature,humidity,wind_speed
2024-01-01 01:00:00,120,1,1,1,0,110.0,17,72,4
2024-01-01 02:00:00,115,2,1,1,0,120.0,17,71,3
2024-01-01 03:00:00,130,3,1,1,0,115.0,16,75,3
2024-01-01 04:00:00,145,4,1,1,0,130.0,16,74,4
2024-01-01 05:00:00,160,5,1,1,0,145.0,17,73,5
2024-01-01 06:00:00,175,6,1,1,0,160.0,18,70,6
2024-01-01 07:00:00,190,7,1,1,0,175.0,20,65,6
2024-01-01 08:00:00,200,8,1,1,0,190.0,22,60,7
2024-01-01 09:00:00,220,9,1,1,0,200.0,24,58,7
2024-01-01 10:00:00,250,10,1,1,0,220.0,26,55,8
2024-01-01 11:00:00,260,11,1,1,0,250.0,27,53,8
2024-01-01 12:00:00,275,12,1,1,0,260.0,28,50,9
2024-01-01 13:00:00,290,13,1,1,0,275.0,29,48,9
2024-01-01 14:00:00,300,14,1,1,0,290.0,30,45,10
2024-01-01 15:00:00,310,15,1,1,0,300.0,31,44,10
2024-01-01 16:00:00,320,16,1,1,0,310.0,30,46,8
2024-01-01 17:00:00,330,17,1,1,0,320.0,28,49,7
2024-01-01 18:00:00,350,18,1,1,0,330.0,25,55,6
2024-01-01 19:00:00,380,19,1,1,0,350.0,23,60,5
2024-01-01 20:00:00,390,20,1,1,0,380.0,21,65,4
2024-01-01 21:00:00,370,21,1,1,0,390.0,20,70,4
2024-01-01 22:00:00,340,22,1,1,0,370.0,19,72,3
2024-01-01 23:00:00,300,23,1,1,0,340.0,18,74,3
